FL_DATE,AIRLINE,AIRLINE_DOT,AIRLINE_CODE,DOT_CODE,FL_NUMBER,ORIGIN,ORIGIN_CITY,DEST,DEST_CITY,CRS_DEP_TIME,DEP_TIME,DEP_DELAY,TAXI_OUT,WHEELS_OFF,WHEELS_ON,TAXI_IN,CRS_ARR_TIME,ARR_TIME,ARR_DELAY,CANCELLED,CANCELLATION_CODE,DIVERTED,CRS_ELAPSED_TIME,ELAPSED_TIME,AIR_TIME,DISTANCE,DELAY_DUE_CARRIER,DELAY_DUE_WEATHER,DELAY_DUE_NAS,DELAY_DUE_SECURITY,DELAY_DUE_LATE_AIRCRAFT,Year
2022-12-28,Southwest Airlines Co.,Southwest Airlines Co.: WN,WN,19393,2019,OAK,"Oakland, CA",SEA,"Seattle, WA",500,,,,,,,715,,,CANCELLED,A,NOT DIVERTED,135.0,,,672.0,,,,,,2022
2022-01-02,Southwest Airlines Co.,Southwest Airlines Co.: WN,WN,19393,939,LGB,"Long Beach, CA",DEN,"Denver, CO",835,,,,,,,1150,,,CANCELLED,B,NOT DIVERTED,135.0,,,854.0,,,,,,2022
2022-01-05,Mesa Airlines Inc.,Mesa Airlines Inc.: YV,YV,20378,6019,BDL,"Hartford, CT",IAD,"Washington, DC",1931,,,,,,,2103,,,CANCELLED,A,NOT DIVERTED,92.0,,,326.0,,,,,,2022
2022-08-30,Endeavor Air Inc.,Endeavor Air Inc.: 9E,9E,20363,5274,JFK,"New York, NY",BUF,"Buffalo, NY",1645,,,,,,,1834,,,CANCELLED,C,NOT DIVERTED,109.0,,,301.0,,,,,,2022
2022-12-22,Delta Air Lines Inc.,Delta Air Lines Inc.: DL,DL,19790,1361,SLC,"Salt Lake City, UT",ORD,"Chicago, IL",1415,,,,,,,1826,,,CANCELLED,B,NOT DIVERTED,191.0,,,1250.0,,,,,,2022
2022-09-29,American Airlines Inc.,American Airlines Inc.: AA,AA,19805,1691,TPA,"Tampa, FL",CLT,"Charlotte, NC",1012,,,,,,,1158,,,CANCELLED,B,NOT DIVERTED,106.0,,,507.0,,,,,,2022
2022-01-12,Mesa Airlines Inc.,Mesa Airlines Inc.: YV,YV,20378,6246,IAH,"Houston, TX",TUS,"Tucson, AZ",1220,,,,,,,1413,,,CANCELLED,D,NOT DIVERTED,173.0,,,936.0,,,,,,2022
2022-02-03,SkyWest Airlines Inc.,SkyWest Airlines Inc.: OO,OO,20304,5178,ALS,"Alamosa, CO",DEN,"Denver, CO",1010,,,,,,,1136,,,CANCELLED,B,NOT DIVERTED,86.0,,,179.0,,,,,,2022
2022-12-26,American Airlines Inc.,American Airlines Inc.: AA,AA,19805,2887,DFW,"Dallas/Fort Worth, TX",XNA,"Fayetteville, AR",2233,,,,,,,2341,,,CANCELLED,A,NOT DIVERTED,68.0,,,280.0,,,,,,2022
2022-06-09,American Airlines Inc.,American Airlines Inc.: AA,AA,19805,1451,MIA,"Miami, FL",IAH,"Houston, TX",1533,,,,,,,1716,,,CANCELLED,B,NOT DIVERTED,163.0,,,964.0,,,,,,2022
2022-01-13,United Air Lines Inc.,United Air Lines Inc.: UA,UA,19977,678,IAH,"Houston, TX",DEN,"Denver, CO",1453,,,,,,,1629,,,CANCELLED,D,NOT DIVERTED,156.0,,,862.0,,,,,,2022
2022-10-01,Delta Air Lines Inc.,Delta Air Lines Inc.: DL,DL,19790,2280,ATL,"Atlanta, GA",CVG,"Cincinnati, OH",1140,,,,,,,1302,,,CANCELLED,A,NOT DIVERTED,82.0,,,373.0,,,,,,2022
2022-07-25,United Air Lines Inc.,United Air Lines Inc.: UA,UA,19977,2265,IAH,"Houston, TX",PIT,"Pittsburgh, PA",1832,,,,,,,2220,,,CANCELLED,A,NOT DIVERTED,168.0,,,1117.0,,,,,,2022
2022-02-05,Envoy Air,Envoy Air: MQ,MQ,20398,3511,XNA,"Fayetteville, AR",DFW,"Dallas/Fort Worth, TX",1825,,,,,,,1952,,,CANCELLED,A,NOT DIVERTED,87.0,,,280.0,,,,,,2022
2022-05-27,Mesa Airlines Inc.,Mesa Airlines Inc.: YV,YV,20378,6015,LGA,"New York, NY",IAD,"Washington, DC",1729,,,,,,,1857,,,CANCELLED,A,NOT DIVERTED,88.0,,,229.0,,,,,,2022
2022-08-11,Delta Air Lines Inc.,Delta Air Lines Inc.: DL,DL,19790,1337,LAX,"Los Angeles, CA",AUS,"Austin, TX",830,,,,,,,1341,,,CANCELLED,A,NOT DIVERTED,191.0,,,1242.0,,,,,,2022
2022-06-17,PSA Airlines Inc.,PSA Airlines Inc.: OH,OH,20397,5645,CLT,"Charlotte, NC",ILM,"Wilmington, NC",1821,,,,,,,1927,,,CANCELLED,B,NOT DIVERTED,66.0,,,185.0,,,,,,2022
2022-04-07,Republic Airline,Republic Airline: YX,YX,20452,4879,RDU,"Raleigh/Durham, NC",DCA,"Washington, DC",1757,,,,,,,1914,,,CANCELLED,B,NOT DIVERTED,77.0,,,227.0,,,,,,2022
2022-12-24,JetBlue Airways,JetBlue Airways: B6,B6,20409,85,BUF,"Buffalo, NY",MCO,"Orlando, FL",1957,,,,,,,2246,,,CANCELLED,B,NOT DIVERTED,169.0,,,1011.0,,,,,,2022
